metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
answerset_f1,0.6640925206990527,0.6266841688431446,0.7007458566359543,0.6087557199036383,0.5868281181740513,0.8068373097189696
qcan-bleu-flex,0.4088750356415745,0.3640371837898055,0.4539635887379085,0.29594720976612515,0.24339437384289137,0.7081982078820258
qcan-bleu-strict,0.40194933562549495,0.35654072286183086,0.4450739993275741,0.3034438075956322,0.26737633093516533,0.7010929724092506
qcan-rouge-4-strict,0.391773759633502,0.34756087322702844,0.43446062506431576,0.30793716646385205,0.27288078963066276,0.7019740513392857
qcan-rouge-4-flex,0.39035327968118877,0.34516239168361684,0.43513160827495745,0.2998050285614711,0.26141186086039614,0.7018053827576113
naive-can-rouge-4,0.3797074168396217,0.33309577129989143,0.4231116016039145,0.2931801983048672,0.2536725918759682,0.6989826139856558
naive-can-bleu,0.35619701290066824,0.3093822334723142,0.4012221030128029,0.24069114939969913,0.19747571389629043,0.6693472583064989
rouge_4,0.24502637334231037,0.19859115251332793,0.2904269121386863,0.21452358995112245,0.1862024515475455,0.6449063231850117
sp-bleu,0.22441536648864546,0.17808421854768275,0.26892831001325834,0.1883128838426318,0.15442707519813403,0.6324968896370023
bleu,0.18733486963935955,0.1411996813083428,0.2336371961031939,0.2053401231279594,0.16842525019890328,0.6444769329991218
