metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.7399664462120227,0.7160431481253963,0.7629793774619933,0.6921119722540131,0.652704496266836,0.7767098606554701
qcan-rouge-4-strict,0.6082782408096248,0.5835700448778838,0.6329417482493762,0.5876884621831093,0.498825372137464,0.8225650202790828
naive-can-rouge-4,0.6056344831460598,0.5817186226291734,0.6276964379350101,0.5710590540769899,0.47590491124011375,0.8190117114488856
qcan-rouge-4-flex,0.6010310022000452,0.5757209431437255,0.6254002041164282,0.5676339612587809,0.4749537325761426,0.8146243874431878
qcan-bleu-strict,0.5689548194193622,0.5408772961465215,0.5964970909394058,0.5603854552077228,0.47169474621539875,0.8072716329649227
qcan-bleu-flex,0.5588564194113759,0.5311853000765987,0.5860951483154654,0.4959543175679129,0.39657298591315837,0.776219530205133
naive-can-bleu,0.54216438495477,0.5148244993220606,0.5689806623198441,0.4490892468127621,0.35357456354538846,0.7467499576385582
rouge_4,0.4377155492575221,0.406550060534846,0.46692801116085053,0.4588232229242902,0.37777021787638965,0.7517813828329156
sp-bleu,0.4011711572269743,0.3707796627672635,0.43215263077743465,0.37918770525986106,0.29804610188689,0.7081088090553476
bleu,0.34464236981755975,0.30949006554207226,0.37656717209334445,0.36333995735200914,0.28331201241698245,0.6978087605016217
