kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:3-en,-0.5231703598678076,0.0,0.0,0.5231703598678076
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:4-en,-0.43191786378048935,0.0,0.0,0.43191786378048935
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:3-es,-0.35246360857775483,0.0,0.0,0.35246360857775483
wins,db26_INFAI-ETI-AND-FRIENDS-C_db26:2-en,-0.32970516467141975,0.0,0.0,0.32970516467141975
wins,db26_LIBER-AI-CLAUDE_db26:2-es,-0.3124248575789625,0.0,0.0,0.3124248575789625
fails,db26_INFAI-ETI-AND-FRIENDS-A_db26:4-en,0.27690749500417483,0.6,0.20911587494844336,0.4860233699526182
fails,db26_INFAI-ETI-AND-FRIENDS-A_db26:3-en,0.23717366192335892,0.6666666666666666,0.37102492544788307,0.608198587371242
fails,db26_LIBER-AI-QWEN_db26:1-en,0.19866545285976034,0.0,0.25963670755916085,0.0609712546994005
fails,db26_SPARQL-LLM_db26:1-es,0.17124510125065642,0.0,0.3774155035532907,0.20617040230263425
fails,db26_IRIS_db26:1-en,0.168820196565664,0.0,0.33709015979426626,0.16826996322860227
