metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
answerset_f1,0.8241069917317326,0.7836739313506969,0.8640506725578498,0.8261187352874687,0.743483175117121,0.9655560205042368
qcan-rouge-4-strict,0.4996137898528044,0.425133494412185,0.5709960746086472,0.43074493051983265,0.3554422587589212,0.7540537713149911
qcan-rouge-4-flex,0.49433058329180113,0.414279766059979,0.5653893985601965,0.42091317525980193,0.34701168852202924,0.7482738780207134
naive-can-rouge-4,0.47873271209621127,0.40134804867940455,0.5517163046226412,0.4164835854349783,0.34249939945547525,0.7457893085050737
qcan-bleu-strict,0.4385092651084556,0.35463888795264786,0.516432829371065,0.3050989462468835,0.25169803406740004,0.6799482163406214
qcan-bleu-flex,0.4350365311815494,0.3505903086816502,0.5113903070264078,0.29075416926204856,0.2396432677737641,0.6715006799874463
rouge_4,0.405909985656717,0.33795471120384213,0.4721177482123428,0.3718192182843821,0.30430100245160824,0.7195574850925829
naive-can-bleu,0.38938091694048427,0.2983111335869298,0.4732190444209118,0.29401546483880564,0.24154127560954627,0.6735406423266032
bleu,0.2542970719958282,0.15916027993682452,0.34019287190107056,0.1626790599553857,0.13311925921672296,0.596061303483628
sp-bleu,0.2538173327669425,0.16169483317129352,0.34204908461720135,0.19456823043398028,0.1592139683471451,0.6148917250758448
