kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,ck26_IRIS_ck26:31-en,-0.148600865311531,0.0,0.12037646514771759,0.2689773304592486
wins,ck26_LIBER-AI-CLAUDE_ck26:44-en,-0.14785478596620283,0.9014084507042254,0.35644982820898213,0.2085950422427794
wins,ck26_ADFR_ck26:44-en,-0.001841696523473546,0.4,0.13773017487026026,0.13588847834678672
wins,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:44-en,0.0,0.0,0.0,0.0
wins,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:31-en,0.013741151459830264,0.0,0.17323187604549883,0.15949072458566857
fails,ck26_SPARQL-LLM_ck26:44-en,0.277483516452267,1.0,0.45976675055767213,0.7372502670099391
fails,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:44-en,0.15324272102383352,1.0,0.1094478057181661,0.2626905267419996
fails,ck26_INFAI-ETI-AND-FRIENDS-A_ck26:31-en,0.13227604996665276,0.023809523809523805,0.3437196573364447,0.21144360736979198
fails,ck26_LIBER-AI-QWEN_ck26:31-en,0.12567586911909454,0.3132530120481928,0.07755013875937573,0.20322600787847026
fails,ck26_LIBER-AI-CLAUDE_ck26:31-en,0.10753264162004914,0.35,0.13830728950210197,0.2458399311221511
