kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:32-en,-0.23339524432009764,0.4106280193236715,0.40448711650793934,0.1710918721878417
wins,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:42-en,-0.13381286501236922,0.0,0.08339862466541856,0.21721148967778778
wins,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:42-en,-0.10731992159573941,0.09090909090909091,0.10124290703237407,0.20856282862811348
wins,ck26_INFAI-ETI-AND-FRIENDS-A_ck26:32-en,-0.09059594523332315,0.4106280193236715,0.36703600080507026,0.2764400555717471
wins,ck26_IRIS_ck26:42-en,-0.07290480480093117,0.0,0.058476650027329664,0.13138145482826083
fails,ck26_SPARQL-LLM_ck26:42-en,0.24300509840277074,1.0,0.4137133886501402,0.6567184870529109
fails,ck26_IRIS_ck26:32-en,0.11532767221388429,0.0,0.4383653139131957,0.32303764169931143
fails,ck26_SPARQL-LLM_ck26:32-en,0.05872834496902585,0.4106280193236715,0.4757060197367914,0.40427836387957744
fails,ck26_ADFR_ck26:42-en,0.011548146466404119,0.28571428571428575,0.13701871899633497,0.1485668654627391
fails,ck26_LIBER-AI-QWEN_ck26:32-en,0.004514774835478408,0.003012048192771084,0.15248320765398315,0.14796843281850475
