metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
answerset_f1,0.7399664462120227,0.7164818192638059,0.7623140844461039,0.6921119722540131,0.652704496266836,0.8849005944690413
qcan-rouge-4-strict,0.4328713100937661,0.40108896647041997,0.4630263300255744,0.3791072359966203,0.32612354605565635,0.74872123384311
qcan-rouge-4-flex,0.4295375864170808,0.3984436119363318,0.4608564189083441,0.369428262432949,0.3138353007407817,0.7451911797300292
qcan-bleu-flex,0.4279417327446924,0.39489778193971403,0.45989653921969276,0.3383395280916748,0.27783328083653286,0.7282325042481381
qcan-bleu-strict,0.42786578889605437,0.3970465685581046,0.4600729013312249,0.3574382103248574,0.3063579917344979,0.7353708178589384
naive-can-rouge-4,0.4225458804575197,0.3912227632655725,0.45272084254475126,0.36800017777751864,0.3103489560403215,0.7453571409264635
naive-can-bleu,0.39005615289445156,0.3561716122701064,0.4214017207584652,0.3019796735258053,0.24752431199654992,0.7037304328866256
rouge_4,0.31360674376875625,0.2798578206121997,0.34545011465119113,0.28242351048747893,0.2389017267604338,0.6877920313398168
sp-bleu,0.27221557992456125,0.24028013062531772,0.30402204305860814,0.24094622560720738,0.19739470888907054,0.6625565592513907
bleu,0.24772787703624088,0.212637334783524,0.2816009883736672,0.24734824794345903,0.2026518540470416,0.666875694883674
