kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,ck26_INFAI-ETI-AND-FRIENDS-A_ck26:46-en,-0.7473526366013037,1.0,1.0,0.25264736339869626
wins,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:46-en,-0.4024010948643958,1.0,0.5041566170114462,0.10175552214705041
wins,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:32-en,-0.23339524432009764,0.4106280193236715,0.40448711650793934,0.1710918721878417
wins,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:42-en,-0.13381286501236922,0.0,0.08339862466541856,0.21721148967778778
wins,ck26_INFAI-ETI-AND-FRIENDS-C_ck26:42-en,-0.10731992159573941,0.09090909090909091,0.10124290703237407,0.20856282862811348
fails,ck26_SPARQL-LLM_ck26:42-en,0.24300509840277074,1.0,0.4137133886501402,0.6567184870529109
fails,ck26_LIBER-AI-QWEN_ck26:46-en,0.22203008845925556,0.0,0.42219145237474487,0.2001613639154893
fails,ck26_INFAI-ETI-AND-FRIENDS-B_ck26:46-en,0.210176289039465,0.0,0.3065153185087319,0.09633902946926692
fails,ck26_IRIS_ck26:32-en,0.11532767221388429,0.0,0.4383653139131957,0.32303764169931143
fails,ck26_SPARQL-LLM_ck26:46-en,0.10038147670257913,1.0,0.5041566170114462,0.6045380937140253
