kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,db26_IRIS_db26:38-es,-0.953053807531547,1.0,1.0,0.046946192468453
wins,db26_INFAI-ETI-AND-FRIENDS-A_db26:23-en,-0.9311391173283597,1.0,1.0,0.06886088267164023
wins,db26_INFAI-ETI-AND-FRIENDS-A_db26:23-es,-0.9311391173283597,1.0,1.0,0.06886088267164023
wins,db26_INFAI-ETI-AND-FRIENDS-A_db26:29-en,-0.8719267282568592,1.0,1.0,0.12807327174314076
wins,db26_SPARQL-LLM_db26:13-en,-0.8118360635786276,1.0,1.0,0.18816393642137244
fails,db26_IRIS_db26:19-en,0.8070625480078482,0.0,0.8371170098777919,0.030054461869943767
fails,db26_IRIS_db26:39-en,0.7693677238407401,0.0,0.8003203203844999,0.030952596543759713
fails,db26_IRIS_db26:31-en,0.6961553602445733,0.0,0.7910665071754358,0.09491114693086254
fails,db26_LIBER-AI-CLAUDE_db26:33-en,0.6719611528220477,0.0,0.7611606003349892,0.08919944751294157
fails,db26_INFAI-ETI-AND-FRIENDS-B_db26:15-en,0.6230029289821449,0.058139534883720936,0.722160038719837,0.017121960029749788
