,feature_closeness_score
qcan-bleu-flex,0.1857350220039189
qcan-bleu-strict,0.1913918602887031
qcan-rouge-4-flex,0.19280464044321188
query_execution,0.19327496587836873
p@1,0.19338715263921621
qcan-rouge-4-strict,0.19445319823822788
mrr,0.19472715293389123
answerset_f1,0.19501848306806988
f1_qald,0.1950184830680699
f1_spinach,0.19504048325244389
hit@5,0.19578812760360934
rouge_3,0.19652237698486266
answerset_precision,0.19690004214947907
precision_qald,0.19690004214947907
recall_qald,0.19699780844608758
answerset_recall,0.19699780844608758
rouge_4,0.1976230112595554
rouge_2,0.19856642256696844
exact_match_spinach,0.20111172916145154
cosine_sim,0.20137365889534825
jaccard,0.2047621932832583
rouge_1,0.21350525465137588
levenshtein,0.2246982176321702
ndcg,0.23055302589955967
codebleu,0.2312204677021787
token_recall,0.23272518224057462
meteor,0.23392834283282632
token_f1,0.2434206534858282
sp-f1,0.25226959994677933
sp-bleu,0.2576505112169242
bleu,0.26272966826717287
token_precision,0.2784786851247558
euclidean,0.3765429992736522
query_exact_match,0.6759762677548747
uri_hallucination,1.013430305438076
