,feature_closeness_score
levenshtein,0.2501158850438818
naive-can-rouge-4,0.2509784907428976
meteor,0.2522720431584513
qcan-rouge-4-strict,0.2523919352232124
qcan-rouge-4-flex,0.2526300030249704
qcan-bleu-flex,0.25328852976610466
qcan-bleu-strict,0.25341230926695407
naive-can-bleu,0.25370594739401947
bleu,0.2541742718527191
rouge_4,0.2551062682709896
rouge_2,0.2553417505462495
rouge_3,0.25546649688871925
codebleu,0.25739263463288287
cosine_sim,0.25755815484343325
rouge_1,0.2620056990148427
token_f1,0.2678897653517366
sp-bleu,0.270287519855194
jaccard,0.2702970660515648
euclidean,0.27927709418534563
answerset_precision,0.28179211928248793
answerset_f1,0.285015078409284
f1_qald,0.285015078409284
token_recall,0.2869884384395044
sp-f1,0.2927549908712745
exact_match_spinach,0.2996457115795372
token_precision,0.3044798763152955
f1_spinach,0.3190644628729477
p@1,0.327220742333106
recall_qald,0.3283767305582869
answerset_recall,0.3283767305582869
query_execution,0.3324661678480465
mrr,0.3372497884139659
hit@5,0.35296990357363867
precision_qald,0.3956480778356795
ndcg,0.460112492983473
query_exact_match,0.568184961708187
uri_hallucination,0.8167217918760252
