,feature_closeness_score
exact_match_spinach,0.1796731235898019
qcan-bleu-flex,0.18133249202344165
qcan-rouge-4-flex,0.18219833631091975
qcan-rouge-4-strict,0.18240083069837315
recall_qald,0.18367054512757286
hit@5,0.18370909752426734
query_execution,0.1837182296741355
f1_qald,0.1840352458569306
answerset_f1,0.18403524585693062
qcan-bleu-strict,0.1841898258616411
f1_spinach,0.18427135780442694
answerset_recall,0.18460320436667932
precision_qald,0.1859002958343597
answerset_precision,0.1859002958343597
mrr,0.1865792111739957
token_recall,0.1892994154229226
p@1,0.19076494245272763
cosine_sim,0.1941253940157868
rouge_3,0.20131275865931483
rouge_2,0.2032255557957046
rouge_4,0.20448367443210094
meteor,0.20879321380266128
jaccard,0.21148308102468755
rouge_1,0.2175136895222863
codebleu,0.22400508979851483
bleu,0.22692656273521625
sp-bleu,0.23517402203824833
token_f1,0.2525151380483484
levenshtein,0.2588693505596796
ndcg,0.28363120689975824
sp-f1,0.29474531631658046
token_precision,0.33849109470503336
euclidean,0.3484534184499993
uri_hallucination,0.6129039333405454
query_exact_match,0.6874037007127852
