,feature_closeness_score
token_recall,0.22432929093798964
qcan-bleu-strict,0.22518225588882151
qcan-bleu-flex,0.22533004964064934
qcan-rouge-4-flex,0.2259338128432536
qcan-rouge-4-strict,0.22611865634431463
cosine_sim,0.2280172700414858
rouge_4,0.23063117800879476
jaccard,0.23207085014291234
rouge_3,0.23252397583124756
rouge_2,0.23346764751424326
rouge_1,0.23435199837532072
meteor,0.23917012134468385
exact_match_spinach,0.26030462202984683
levenshtein,0.2616660217422246
precision_qald,0.26419620543957983
answerset_precision,0.26419620543957983
bleu,0.2647156005908699
f1_qald,0.26698533673568176
answerset_f1,0.2669853367356818
codebleu,0.2709028820036469
query_execution,0.2760016137462005
sp-bleu,0.2821241274329584
token_f1,0.2841140003032368
euclidean,0.28435106230319734
p@1,0.2859264987064212
f1_spinach,0.2924287724174262
sp-f1,0.3043634279442341
mrr,0.31158405913508785
recall_qald,0.3223853142894684
answerset_recall,0.3223853142894684
token_precision,0.3423544482283754
hit@5,0.3455279774910055
query_exact_match,0.44089206219742894
uri_hallucination,0.8572227817872683
