,feature_closeness_score
qcan-bleu-flex,0.21058791330538315
qcan-bleu-strict,0.21453352778516904
qcan-rouge-4-flex,0.21613005274606414
naive-can-rouge-4,0.21629646254179147
qcan-rouge-4-strict,0.21811044718887582
rouge_3,0.21862444549927132
p@1,0.21884693855872167
rouge_2,0.21952283690459523
rouge_4,0.2200132099578092
f1_spinach,0.22032223116003533
answerset_f1,0.22043052963125298
f1_qald,0.22043052963125298
exact_match_spinach,0.22065044025537156
cosine_sim,0.2208063649050751
mrr,0.2213202478339306
answerset_precision,0.222882471542809
query_execution,0.22330920916516375
hit@5,0.22407763248585835
recall_qald,0.22413760375799466
answerset_recall,0.22415348961285034
naive-can-bleu,0.22520573124087867
jaccard,0.22531780234414264
rouge_1,0.23161141249155415
levenshtein,0.24209106371942488
codebleu,0.24695975002957724
token_recall,0.24795758151286226
meteor,0.25032557177874754
ndcg,0.2512263507805408
token_f1,0.2591060608078228
sp-f1,0.2665258756591278
sp-bleu,0.27508824056709896
bleu,0.28024405850350603
token_precision,0.29026463501985
euclidean,0.38795366182987034
query_exact_match,0.6655064319707958
uri_hallucination,0.9866392299194192
precision_qald,1.0654954561867815
